,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index
15,115,15,"""Power Play""",45571.2,David Livingston,Teleplay: Ren? Balcer and Herbert J. Wright & Brannon Braga Story: Paul Ruben and Maurice Hurley,"February?24,?1992?(1992-02-24)",13.2[6],114
16,116,16,"""Ethics""",45587.3,Chip Chalmers,Teleplay: Ronald D. Moore Story: Sara Charno & Stuart Charno,"March?2,?1992?(1992-03-02)",12.6[6],115
17,117,17,"""The Outcast""",45614.6,Robert Scheerer,Jeri Taylor,"March?16,?1992?(1992-03-16)",12.3[6],116
18,118,18,"""Cause and Effect""",45652.1,Jonathan Frakes,Brannon Braga,"March?23,?1992?(1992-03-23)",13.0[6],117
19,119,19,"""The First Duty""",45703.9,Paul Lynch,Ronald D. Moore & Naren Shankar,"March?30,?1992?(1992-03-30)",12.1[6],118
20,120,20,"""Cost of Living""",45733.6,Winrich Kolbe,Peter Allan Fields,"April?20,?1992?(1992-04-20)",11.7[6],119
21,121,21,"""The Perfect Mate""",45761.3,Cliff Bole,Teleplay: Gary Perconte and Michael Piller Story: Ren? Echevarria and Gary Perconte,"April?27,?1992?(1992-04-27)",10.8[6],120
22,122,22,"""Imaginary Friend""",45852.1,Gabrielle Beaumont,Teleplay: Edithe Swensen and Brannon Braga Story: Jean Louise Matthias & Ronald Wilkerson and Richard Fliegel,"May?4,?1992?(1992-05-04)",12.1[6],121
23,123,23,"""I, Borg""",45854.2,Robert Lederman,Ren? Echevarria,"May?11,?1992?(1992-05-11)",12.8[6],122
24,124,24,"""The Next Phase""",45892.4,David Carson,Ronald D. Moore,"May?18,?1992?(1992-05-18)",11.7[6],123
25,125,25,"""The Inner Light""",45944.1,Peter Lauritson,Teleplay: Morgan Gendel and Peter Allan Fields Story: Morgan Gendel,"June?1,?1992?(1992-06-01)",11.1[6],124
26,126,26,"""Time's Arrow""",45959.1,Les Landau,Teleplay: Joe Menosky and Michael Piller Story: Joe Menosky,"June?15,?1992?(1992-06-15)",11.8[6],125
1,127,1,"""Time's Arrow, Part II""",46001.3,Les Landau,Teleplay: Jeri Taylor Story: Joe Menosky,"September?21,?1992?(1992-09-21)",13.8[7],126
2,128,2,"""Realm of Fear""",46041.1,Cliff Bole,Brannon Braga,"September?28,?1992?(1992-09-28)",13.2[7],127
3,129,3,"""Man of the People""",46071.6,Winrich Kolbe,Frank Abatemarco,"October?5,?1992?(1992-10-05)",13.2[7],128
4,130,4,"""Relics""",46125.3,Alexander Singer,Ronald D. Moore,"October?12,?1992?(1992-10-12)",13.9[7],129
5,131,5,"""Schisms""",46154.2,Robert Wiemer,Teleplay: Brannon Braga Story: Jean Louise Matthias & Ron Wilkerson,"October?19,?1992?(1992-10-19)",13.2[7],130
6,132,6,"""True Q""",46192.3,Robert Scheerer,Ren? Echevarria,"October?26,?1992?(1992-10-26)",13.7[7],131
7,133,7,"""Rascals""",46235.7,Adam Nimoy,Teleplay: Allison Hock Story: Ward Botsford & Diana Dru Botsford and Michael Piller,"November?2,?1992?(1992-11-02)",13.5[7],132
8,134,8,"""A Fistful of Datas""",46271.5,Patrick Stewart,Teleplay: Robert Hewitt Wolfe and Brannon Braga Story: Robert Hewitt Wolfe,"November?9,?1992?(1992-11-09)",13.4[7],133
9,135,9,"""The Quality of Life""",46307.2,Jonathan Frakes,Teleplay: Naren Shankar Story: L.J. Scott,"November?16,?1992?(1992-11-16)",13.2[7],134
